WARNING | PyNaCl is not installed, voice will NOT be supported
DEBUG | on_ready has successfully been registered as an event
DEBUG | on_message has successfully been registered as an event
DEBUG | Using proactor: IocpProactor
INFO | logging in using static token
INFO | Shard ID None has connected to Gateway (Session ID: 5abeaab3b9cf7bb5ce01bac30021b50e).
DEBUG | Called: CodeVerifier - (<Message id=1149376574672605255 channel=<DMChannel id=1138421122371698719 recipient=None> type=<MessageType.default: 0> author=<User id=762016625096261652 name='elektryk_andrzej' global_name='Andrzej' bot=False> flags=<MessageFlags value=0>>, <discord.ext.commands.bot.Bot object at 0x0000017B4F98B750>, '.v\nWAITUNTIL {WAVERESPAWNING}\nSTOPIF {LASTRESPAWNTEAM} = NineTailedFox\nSAVEPLAYERS {MTFSPY} {RESPAWNEDPLAYERS} 1\nSETROLE {MTFSPY} NtfCaptain\nRESKIN {MTFSPY} ChaosRepressor\nBROADCASTPLAYER {SMALL} 10 <b>You are the <color=#0084e3>MTF</color> Spy.</b>\nCLEARINVENTORY {MTFSPY}\nGIVE {MTFSPY} GunLogicer\nGIVE {MTFSPY} Ammo762x39 150\nGIVE {MTFSPY} KeycardNtfCaptain\nGIVE {MTFSPY} ArmorHeavy 1\nGIVE {MTFSPY} Medkit 2\nGIVE {MTFSPY} Adrenaline 1\nGIVE {MTFSPY} GrenadeHE 2')
DEBUG | Called: action_waituntil - (<class_CodeVerifier.CodeVerifier object at 0x0000017B50C38350>,)
DEBUG | Called: is_action_required_length - (<class_CodeVerifier.CodeVerifier object at 0x0000017B50C38350>, 1, None)
DEBUG | Called: add_line_to_result - (<class_CodeVerifier.CodeVerifier object at 0x0000017B50C38350>, '🟩')
DEBUG | Called: action_stopif - (<class_CodeVerifier.CodeVerifier object at 0x0000017B50C38350>,)
DEBUG | Called: is_action_required_length - (<class_CodeVerifier.CodeVerifier object at 0x0000017B50C38350>, 1, None)
DEBUG | Called: add_line_to_result - (<class_CodeVerifier.CodeVerifier object at 0x0000017B50C38350>, '🟩')
DEBUG | Called: action_saveplayers - (<class_CodeVerifier.CodeVerifier object at 0x0000017B50C38350>,)
DEBUG | Called: is_action_required_length - (<class_CodeVerifier.CodeVerifier object at 0x0000017B50C38350>, 2, 3)
DEBUG | Called: register_variable - (<class_CodeVerifier.CodeVerifier object at 0x0000017B50C38350>, 2, 3) {'player_var': True}
